step,x,y,r,phi
429,33.618,-32.2063,46.5555,-0.763956
430,34.1306,-31.8791,46.7031,-0.751304
431,34.6404,-31.5494,46.8542,-0.738733
432,35.1474,-31.2171,47.009,-0.726243
433,35.6517,-30.8823,47.1674,-0.713836
434,36.1532,-30.5451,47.3293,-0.701513
435,36.652,-30.2056,47.4947,-0.689275
436,37.148,-29.8638,47.6636,-0.677123
437,37.6412,-29.5197,47.8359,-0.665057
438,38.1317,-29.1736,48.0117,-0.653079
439,38.6195,-28.8254,48.191,-0.641189
440,39.1046,-28.4751,48.3736,-0.629388
441,39.5871,-28.1229,48.5596,-0.617676
442,40.0668,-27.7688,48.7489,-0.606055
443,40.544,-27.4129,48.9416,-0.594524
444,41.0185,-27.0552,49.1375,-0.583084
445,41.4904,-26.6957,49.3367,-0.571736
446,41.9597,-26.3346,49.5392,-0.560479
447,42.4265,-25.972,49.7448,-0.549316
448,42.8907,-25.6077,49.9537,-0.538244
449,43.3525,-25.242,50.1657,-0.527265
450,43.8118,-24.8747,50.3808,-0.516379
451,44.2686,-24.5062,50.599,-0.505588
452,44.723,-24.1362,50.8203,-0.494888
453,45.175,-23.765,51.0446,-0.484283
454,45.6246,-23.3926,51.272,-0.47377
455,46.0719,-23.0189,51.5023,-0.463351
456,46.5169,-22.6441,51.7356,-0.453026
457,46.9596,-22.2681,51.9719,-0.442793
458,47.4001,-21.8911,52.211,-0.432654
459,47.8383,-21.5131,52.453,-0.422607
460,48.2744,-21.1341,52.6978,-0.412654
461,48.7083,-20.7541,52.9455,-0.402793
462,49.14,-20.3732,53.196,-0.393024
463,49.5697,-19.9915,53.4492,-0.383348
464,49.9973,-19.6089,53.7051,-0.373763
465,50.4229,-19.2255,53.9638,-0.36427
466,50.8465,-18.8414,54.2251,-0.354867
467,51.2681,-18.4565,54.4891,-0.345555
468,51.6878,-18.0709,54.7557,-0.336334
469,52.1055,-17.6847,55.0248,-0.327201
470,52.5214,-17.2978,55.2966,-0.318158
471,52.9355,-16.9103,55.5709,-0.309205
472,53.3477,-16.5222,55.8476,-0.300339
473,53.7581,-16.1336,56.1269,-0.291561
474,54.1668,-15.7444,56.4086,-0.282871
475,54.5738,-15.3548,56.6928,-0.274267
476,54.9791,-14.9646,56.9793,-0.26575
477,55.3827,-14.574,57.2682,-0.257318
478,55.7847,-14.1831,57.5594,-0.248971
479,56.1851,-13.7916,57.853,-0.240709
480,56.5839,-13.3998,58.1488,-0.23253
481,56.9811,-13.0076,58.4469,-0.224434
482,57.3768,-12.6151,58.7473,-0.216421
483,57.7711,-12.2223,59.0498,-0.20849
484,58.1639,-11.8291,59.3546,-0.20064
485,58.5552,-11.4357,59.6615,-0.192869
486,58.9452,-11.0419,59.9705,-0.185179
487,59.3338,-10.6479,60.2816,-0.177568
488,59.721,-10.2537,60.5948,-0.170036
489,60.1069,-9.85924,60.9101,-0.162581
490,60.4914,-9.46458,61.2274,-0.155203
491,60.8747,-9.06972,61.5467,-0.147902
492,61.2568,-8.67468,61.868,-0.140676
493,61.6376,-8.27944,62.1912,-0.133525
494,62.0172,-7.88405,62.5164,-0.126448
495,62.3957,-7.48851,62.8435,-0.119445
496,62.773,-7.09281,63.1724,-0.112514
497,63.1491,-6.69696,63.5032,-0.105655
498,63.5242,-6.301,63.8359,-0.0988672
499,63.8981,-5.905,64.1704,-0.092151
500,64.271,-5.50885,64.5067,-0.0855039
501,64.6429,-5.11262,64.8447,-0.0789259
502,65.0137,-4.71629,65.1845,-0.0724161
503,65.3835,-4.31992,65.5261,-0.0659745
504,65.7523,-3.92347,65.8693,-0.0595997
505,66.1202,-3.52696,66.2142,-0.0532911
